
File: rev_1.07.sql Line: 151 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 288 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.08.sql Line: 288 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
